2015-04-11T13:33:23.834+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5631 #74 (4 connections now open)
2015-04-11T13:33:23.835+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5632 #75 (5 connections now open)
2015-04-11T13:34:55.025+0200 I NETWORK  [conn74] end connection 127.0.0.1:5631 (4 connections now open)
2015-04-11T13:34:55.025+0200 I NETWORK  [conn72] end connection 127.0.0.1:5629 (3 connections now open)
2015-04-11T13:34:55.025+0200 I NETWORK  [conn71] end connection 127.0.0.1:5628 (4 connections now open)
2015-04-11T13:34:55.025+0200 I NETWORK  [conn75] end connection 127.0.0.1:5632 (1 connection now open)
2015-04-11T13:34:55.025+0200 I NETWORK  [conn73] end connection 127.0.0.1:5630 (0 connections now open)
2015-04-11T13:34:59.541+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5701 #76 (1 connection now open)
2015-04-11T13:34:59.541+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5702 #77 (2 connections now open)
2015-04-11T13:34:59.542+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5703 #78 (3 connections now open)
2015-04-11T13:34:59.542+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5704 #79 (4 connections now open)
2015-04-11T13:34:59.542+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:5705 #80 (5 connections now open)
2015-04-11T13:45:13.645+0200 I NETWORK  [conn79] end connection 127.0.0.1:5704 (4 connections now open)
2015-04-11T13:45:13.645+0200 I NETWORK  [conn78] end connection 127.0.0.1:5703 (4 connections now open)
2015-04-11T13:45:13.645+0200 I NETWORK  [conn76] end connection 127.0.0.1:5701 (2 connections now open)
2015-04-11T13:45:13.646+0200 I NETWORK  [conn77] end connection 127.0.0.1:5702 (1 connection now open)
2015-04-11T13:45:13.646+0200 I NETWORK  [conn80] end connection 127.0.0.1:5705 (0 connections now open)
2015-04-11T13:45:48.920+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6339 #81 (1 connection now open)
2015-04-11T13:45:48.921+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6340 #82 (2 connections now open)
2015-04-11T13:45:48.921+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6341 #83 (3 connections now open)
2015-04-11T13:45:48.921+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6342 #84 (4 connections now open)
2015-04-11T13:45:48.921+0200 I NETWORK  [initandlisten] connection accepted from 127.0.0.1:6343 #85 (5 connections now open)
2015-04-11T13:47:12.268+0200 I NETWORK  [conn81] end connection 127.0.0.1:6339 (4 connections now open)
